Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,Feature_Selection,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,Random Forest,Undersampling,No selection,259,86,53,48,0.7507246376811594,0.8436482084690554,0.6973964802099688,0.24312960664623498
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,Random Forest,Smote,No selection,253,81,58,54,0.7574850299401198,0.8241042345276873,0.712769198322124,0.25491894567504025
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,Random Forest,No sampling,CFS with Best First,263,85,54,44,0.7557471264367817,0.8566775244299675,0.7386403580718487,0.2666904585893091
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,Random Forest,Oversampling,CFS with Best First,273,98,41,34,0.7358490566037735,0.8892508143322475,0.6767862582897851,0.21076762206075558
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,Random Forest,Undersampling,CFS with Best First,273,102,37,34,0.728,0.8892508143322475,0.687472172099454,0.17945943021022162
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,Random Forest,Smote,CFS with Best First,268,98,41,39,0.73224043715847,0.8729641693811075,0.6786492630000235,0.18999390195402607
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,IBk,No sampling,No selection,225,54,85,82,0.8064516129032258,0.7328990228013029,0.7074145244065334,0.32641865630205436
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,IBk,Oversampling,No selection,255,82,57,52,0.7566765578635015,0.8306188925081434,0.6613432381130926,0.2557965780888104
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,IBk,Undersampling,No selection,254,77,62,53,0.7673716012084593,0.8273615635179153,0.6850936189159421,0.2869616548195883
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,IBk,Smote,No selection,250,72,67,57,0.7763975155279503,0.8143322475570033,0.6902842546809458,0.3053630502499216
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,IBk,No sampling,CFS with Best First,245,65,74,62,0.7903225806451613,0.7980456026058632,0.7372577508026152,0.3323825463803303
