Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,No sampling,No sensitive,13,110,307,9,0.10569105691056911,0.5909090909090909,0.7187159363418356,0.10305101042185337
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,No sampling,Sensitive threshold,3,25,392,19,0.10714285714285714,0.13636363636363635,0.6922280357532156,0.06767062457766165
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,No sampling,Sensitive learning,1,14,403,21,0.06666666666666667,0.045454545454545456,0.5059407019838674,0.013989604055700868
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,Oversampling,No sensitive,16,147,270,6,0.09815950920245399,0.7272727272727273,0.7174078918683235,0.0928649568493983
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,Oversampling,Sensitive threshold,10,91,326,12,0.09900990099009901,0.45454545454545453,0.670972313058644,0.08750227029645047
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,Oversampling,Sensitive learning,7,55,362,15,0.11290322580645161,0.3181818181818182,0.5931436668846741,0.10009370973409885
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,Undersampling,No sensitive,15,148,269,7,0.09202453987730061,0.6818181818181818,0.7076520601700458,0.081006982429129
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,Undersampling,Sensitive threshold,15,147,270,7,0.09259259259259259,0.6818181818181818,0.7043274471332025,0.08203888768194667
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,Undersampling,Sensitive learning,6,47,370,16,0.11320754716981132,0.2727272727272727,0.5800087202964901,0.09596966626352432
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,Smote,No sensitive,15,153,264,7,0.08928571428571429,0.6818181818181818,0.6728798779158491,0.07600831382041107
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,Smote,Sensitive threshold,7,65,352,15,0.09722222222222222,0.3181818181818182,0.6435033791148899,0.07816683290461403
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No selection,Smote,Sensitive learning,5,50,367,17,0.09090909090909091,0.22727272727272727,0.5536843252670591,0.06277283879807538
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,CFS with Best First,No sampling,No sensitive,12,116,301,10,0.09375,0.5454545454545454,0.6877588838020493,0.08143744395363503
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,CFS with Best First,No sampling,Sensitive threshold,3,22,395,19,0.12,0.13636363636363635,0.7117942010028341,0.07853376337480183
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,CFS with Best First,No sampling,Sensitive learning,4,26,391,18,0.13333333333333333,0.18181818181818182,0.5597340309570525,0.10191556630091098
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,CFS with Best First,Oversampling,No sensitive,13,154,263,9,0.07784431137724551,0.5909090909090909,0.6674296926095488,0.05376671118575037
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,CFS with Best First,Oversampling,Sensitive threshold,10,95,322,12,0.09523809523809523,0.45454545454545453,0.7121212121212122,0.08135646255842625
